,,,,,,,
,,,,,,,
Número,Descripción,Atributo,Código,Cantidad,Ubicación VC,Ubicación AC,Verificación
96,Set formula 1 t/Lego,N/A,J0130,3,0,3,0
97,Set camión transporte t/Lego,N/A,J0140,3,2,1,0
98,Minimaleta táctica negra,Negro,O0010,21,1,20,0
99,Minimaleta táctica verde militar,Verde militar,O0011,0,0,0,0
100,Minimaleta táctica verde ruinas,Verde ruinas,O0012,0,0,0,0
101,Minimaleta táctica caqui,Caqui,O0013,7,1,6,0
102,Minimaleta táctica sansha,Sansha,O0014,0,0,0,0
103,Minimaleta táctica acu,Acu,O0015,0,0,0,0
104,Láser de alta potencia verde,Verde,O0020,3,2,1,0
105,Maleta antirobo gris,Gris,O0030,2,1,1,0
106,Bolso cuero negro-rojo,Negro-Rojo,R0010,0,0,0,0
107,Billetera cuero negra,Negro,R0020,1,0,1,0
108,Cartera cuero mini vinotinto,Vinotinto,R0030,1,0,1,0
109,Morral cuero miel,Negro-miel,R0040,0,0,0,0
110,Mini cartera MF cuadros,Negro,R0050,0,0,0,0
111,Cartera MF cuadros roja,Rojo,R0060,0,0,0,0
112,Bolso ancho café,Café,R0070,0,0,0,0
,x,x,x,x,,,
